id,web_name,team,element_type,now_cost,total_points,form,points_per_game,ep_next,expected_goal_involvements,minutes
1,Raya,1,1,6.0,129,7.0,4.2,8.0,0.06,2790
2,Arrizabalaga,1,1,4.0,0,0.0,0.0,1.0,0.00,0
3,Hein,1,1,4.0,0,0.0,0.0,0.0,0.00,0
4,Setford,1,1,3.9,0,0.0,0.0,1.0,0.00,0
5,Gabriel,1,2,7.2,173,9.0,6.9,10.0,3.55,2165
6,Saliba,1,2,6.1,107,11.0,4.3,12.0,1.58,2074
7,Calafiori,1,2,5.6,93,6.0,4.2,7.0,3.41,1446
8,J.Timber,1,2,6.3,149,1.0,5.0,1.5,6.24,2452
9,Kiwior,1,2,5.4,0,0.0,0.0,0.0,0.00,0
10,Lewis-Skelly,1,2,5.0,12,0.0,0.9,1.0,0.11,311
11,White,1,2,5.1,30,0.0,4.3,1.0,0.92,409
13,Clarke,1,2,3.7,0,0.0,0.0,1.0,0.00,0
14,Kacurri,1,2,3.9,0,0.0,0.0,0.0,0.00,0
15,Nichols,1,2,3.7,0,0.0,0.0,1.0,0.00,0
16,Saka,1,3,9.8,133,3.0,4.9,3.0,12.74,1995
17,Ødegaard,1,3,7.8,62,0.0,3.1,1.0,3.92,1070
18,Madueke,1,3,6.8,54,3.0,2.7,4.0,3.09,889
19,Martinelli,1,3,6.8,47,4.0,1.9,5.0,4.53,839
20,Trossard,1,3,6.5,99,0.0,3.8,1.0,7.66,1675
21,Rice,1,3,7.3,163,3.0,5.4,4.0,9.48,2580
22,Merino,1,3,5.4,66,0.0,3.1,0.0,4.44,996
23,Fábio Vieira,1,3,5.4,0,0.0,0.0,0.0,0.00,0
24,Nørgaard,1,3,5.1,6,0.0,1.0,1.0,0.05,56
25,Nwaneri,1,3,5.0,8,0.0,1.3,0.0,0.31,165
26,Zubimendi,1,3,5.1,117,3.0,3.8,4.0,4.96,2597
28,Kabia,1,3,4.5,0,0.0,0.0,0.0,0.00,0
29,Sambi,1,3,4.5,0,0.0,0.0,0.0,0.00,0
30,Havertz,1,4,7.3,12,2.0,2.0,3.0,0.40,261
31,G.Jesus,1,4,6.4,17,0.0,1.5,1.0,1.94,304
266,Eze,1,3,7.2,94,3.0,3.6,2.0,6.11,1494
662,Mosquera,1,2,5.3,28,1.0,2.0,2.0,0.49,667
666,Gyökeres,1,4,8.8,101,7.0,3.5,8.0,10.98,1888
700,Dowman,1,3,4.2,11,6.0,3.7,7.0,1.15,43
711,Harriman-Annous,1,3,4.4,0,0.0,0.0,1.0,0.00,0
725,Hincapie,1,2,5.1,74,4.0,3.5,2.5,1.72,1499
759,Salmon,1,2,4.0,0,0.0,0.0,1.0,0.00,0
32,Martinez,2,1,5.1,105,4.0,3.9,4.0,0.06,2385
33,M.Bizot,2,1,4.2,11,0.0,2.2,0.0,0.00,405
34,Gauci,2,1,4.0,0,0.0,0.0,0.0,0.00,0
35,Marschall,2,1,4.0,0,0.0,0.0,0.0,0.00,0
36,Cash,2,2,4.7,106,3.0,3.8,3.0,3.77,2442
37,Digne,2,2,4.5,85,5.5,3.3,5.5,3.34,1549
38,Konsa,2,2,4.4,95,3.5,3.2,3.5,1.83,2675
39,Maatsen,2,2,4.2,40,0.5,1.7,0.5,2.90,1251
40,Mings,2,2,4.3,44,1.5,3.4,1.5,1.38,962
41,Pau,2,2,4.3,56,3.0,3.3,3.0,0.99,1386
