web_name,name,element_type,now_cost,form,expected_goal_involvements,next_3_fdr,ep_next,buy_rating
B.Fernandes,Man Utd,3,10.3,11.5,19.35,2.67,12.0,12.81
Haaland,Man City,4,14.4,2.0,23.0,3.0,2.0,10.4
Thiago,Brentford,4,7.3,5.0,19.2,3.33,5.0,10.01
Gordon,Newcastle,3,7.4,10.5,12.08,3.67,10.5,9.3
Welbeck,Brighton,4,6.2,7.0,11.56,2.33,7.5,7.96
Enzo,Chelsea,3,6.5,2.0,16.37,3.67,0.0,7.61
Gyökeres,Arsenal,4,8.8,7.0,10.98,3.67,8.0,7.46
João Pedro,Chelsea,4,7.8,2.0,15.39,3.67,2.0,7.22
Beto,Everton,4,5.0,9.0,7.37,2.67,9.0,7.01
Watkins,Aston Villa,4,8.5,4.5,11.67,2.67,4.5,6.93
Gibbs-White,Nott'm Forest,3,7.4,5.5,10.45,2.33,5.5,6.91
Szoboszlai,Liverpool,3,7.1,7.0,9.0,3.0,7.5,6.8
Cunha,Man Utd,3,8.0,7.0,8.45,2.67,7.5,6.65
Saka,Arsenal,3,9.8,3.0,12.74,3.67,3.0,6.56
N.Williams,Nott'm Forest,2,4.7,10.0,5.0,2.33,10.0,6.53
Ndiaye,Everton,3,6.2,6.0,9.16,2.67,4.5,6.53
Raúl,Fulham,4,6.2,3.5,11.92,3.33,3.0,6.5
Wilson,Fulham,3,6.1,6.0,9.3,3.33,5.5,6.45
Mbeumo,Man Utd,3,8.6,2.0,12.24,2.67,2.5,6.16
Bowen,West Ham,4,7.6,4.0,10.19,2.67,4.5,6.14
Semenyo,Man City,3,8.2,2.0,12.26,3.0,2.0,6.1
Mateta,Crystal Palace,4,7.5,1.0,13.25,3.0,1.0,6.1
Schade,Brentford,3,7.0,2.5,11.72,3.33,2.5,6.02
Bernardo,Man City,3,6.2,9.0,4.99,3.0,9.0,6.0
Ekitiké,Liverpool,4,9.3,1.0,12.55,3.0,1.5,5.82
Rogers,Aston Villa,3,7.4,4.0,9.27,2.67,4.0,5.77
Gakpo,Liverpool,3,7.3,2.5,10.85,3.0,3.0,5.74
Calvert-Lewin,Leeds,4,5.6,1.0,12.32,3.0,0.5,5.73
Richarlison,Spurs,4,6.3,5.5,7.61,2.67,5.5,5.71
O.Dango,Brentford,3,6.0,4.5,8.67,3.33,4.5,5.6
Evanilson,Bournemouth,4,6.8,3.5,9.43,3.33,2.5,5.51
Tavernier,Bournemouth,3,5.4,2.5,10.39,3.33,1.5,5.49
Richards,Crystal Palace,2,4.4,10.0,2.57,3.0,10.0,5.43
Wirtz,Liverpool,3,8.3,2.5,10.03,3.0,3.0,5.41
Minteh,Brighton,3,5.5,5.0,7.06,2.33,5.5,5.36
Saliba,Arsenal,2,6.1,11.0,1.58,3.67,12.0,5.3
Gabriel,Arsenal,2,7.2,9.0,3.55,3.67,10.0,5.29
Gomez,Brighton,3,4.9,5.0,6.86,2.33,5.5,5.28
Rice,Arsenal,3,7.3,3.0,9.48,3.67,4.0,5.26
Palmer,Chelsea,3,10.6,2.0,10.48,3.67,2.0,5.26
Garner,Everton,3,5.3,5.0,6.96,2.67,5.0,5.25
Canvot,Crystal Palace,2,4.5,11.0,1.02,3.0,11.0,5.21
M.Salah,Liverpool,3,14.0,0.5,11.42,3.0,1.0,5.17
